target_name,width,seed,optimizer,learning_rate,epochs,activation,n_train,n_test,final_train_loss,final_test_loss,relative_movement,runtime_seconds
sin_low,10,0,adam,0.001,5000,relu,100,1000,0.007699094247072935,0.008652917109429836,3.803512126269871,11.059425667
sin_low,10,1,adam,0.001,5000,relu,100,1000,0.0052039227448403835,0.008013739250600338,4.405658017311996,11.114863
sin_low,10,2,adam,0.001,5000,relu,100,1000,0.36048147082328796,0.3934550881385803,0.9683096865479441,11.320753665999995
sin_low,10,3,adam,0.001,5000,relu,100,1000,0.05732566863298416,0.07934851199388504,2.1410834727247567,11.289145582999993
sin_low,10,4,adam,0.001,5000,relu,100,1000,0.044275425374507904,0.04700639098882675,2.6336108351407,11.001443459
sin_low,50,0,adam,0.001,5000,relu,100,1000,0.0005631315289065242,0.0007508955313824117,1.6166899836603053,11.840576791999993
sin_low,50,1,adam,0.001,5000,relu,100,1000,0.0004725892504211515,0.000939281890168786,1.6127185972980742,11.076690875000011
sin_low,50,2,adam,0.001,5000,relu,100,1000,0.00016044247604440898,0.0008746440289542079,1.67882617166845,11.043519541999999
sin_low,50,3,adam,0.001,5000,relu,100,1000,0.00162714091129601,0.0015700693475082517,1.332644360001367,11.044409334000008
sin_low,50,4,adam,0.001,5000,relu,100,1000,0.0006218726630322635,0.004717581905424595,1.5278322435954825,11.254880624999998
sin_low,100,0,adam,0.001,5000,relu,100,1000,4.2783682147273794e-05,9.24761188798584e-05,0.9836185237880015,11.090473166999999
sin_low,100,1,adam,0.001,5000,relu,100,1000,0.001108840573579073,0.002383484970778227,0.9539505081510244,10.973582875000005
sin_low,100,2,adam,0.001,5000,relu,100,1000,0.0001718207058729604,0.00041554687777534127,1.1722428140781802,10.94578629199998
sin_low,100,3,adam,0.001,5000,relu,100,1000,2.1955514966975898e-05,4.6903962356736884e-05,0.933082791754825,10.956013541999994
sin_low,100,4,adam,0.001,5000,relu,100,1000,0.00015550188254565,0.001080230576917529,1.0470033784897834,11.037761541999998
sin_low,500,0,adam,0.001,5000,relu,100,1000,6.983742059674114e-05,0.00015959635493345559,0.3655122796151684,11.823406707999993
sin_low,500,1,adam,0.001,5000,relu,100,1000,7.096181070664898e-05,0.00022488513786811382,0.3283696179649714,11.198729834000005
sin_low,500,2,adam,0.001,5000,relu,100,1000,4.4427462853491306e-05,9.036876872414723e-05,0.38261146625508746,11.208786500000002
sin_low,500,3,adam,0.001,5000,relu,100,1000,9.711511665955186e-06,1.5501538655371405e-05,0.369971920784333,11.187247540999977
sin_low,500,4,adam,0.001,5000,relu,100,1000,7.812054536771029e-05,0.0014659224543720484,0.3797286527328417,11.15503158300001
sin_low,1000,0,adam,0.001,5000,relu,100,1000,5.1857390644727275e-05,0.00012054647959303111,0.21757322757490705,11.677968999999962
sin_low,1000,1,adam,0.001,5000,relu,100,1000,0.0006231850711628795,0.0010314271785318851,0.2148488136971772,11.276643459000013
sin_low,1000,2,adam,0.001,5000,relu,100,1000,4.505711331148632e-05,0.00024318919167853892,0.22390200015247444,11.268551166000009
sin_low,1000,3,adam,0.001,5000,relu,100,1000,5.1458438974805176e-05,7.735030521871522e-05,0.22075356464064344,11.262719707999963
sin_low,1000,4,adam,0.001,5000,relu,100,1000,2.8263790227356367e-05,0.0007504925597459078,0.21646411906265722,11.289747499999976
sin_high,10,0,adam,0.001,5000,relu,100,1000,0.42239850759506226,0.4860333800315857,1.5094956978076322,11.029666125000006
sin_high,10,1,adam,0.001,5000,relu,100,1000,0.4044238328933716,0.5362693071365356,1.5612051253367611,11.021136000000013
sin_high,10,2,adam,0.001,5000,relu,100,1000,0.48370298743247986,0.48429301381111145,2.9346291891821075,11.01979245800004
sin_high,10,3,adam,0.001,5000,relu,100,1000,0.3918055593967438,0.5383991599082947,0.570215576667844,11.151647665999974
sin_high,10,4,adam,0.001,5000,relu,100,1000,0.4580928683280945,0.4731118381023407,1.6421858579361752,11.155601292000028
sin_high,50,0,adam,0.001,5000,relu,100,1000,0.3501605987548828,0.4726145267486572,1.869343930025071,11.18993758299996
sin_high,50,1,adam,0.001,5000,relu,100,1000,0.21513715386390686,0.3883061707019806,2.9633949631857077,11.139578707999988
sin_high,50,2,adam,0.001,5000,relu,100,1000,0.32942527532577515,0.4184045195579529,2.759050261605554,11.102756333999992
sin_high,50,3,adam,0.001,5000,relu,100,1000,0.3108707666397095,0.4615868628025055,1.7451769064044094,11.164816666999968
sin_high,50,4,adam,0.001,5000,relu,100,1000,0.2840101718902588,0.5420619249343872,2.4362784832791373,11.140071750000004
sin_high,100,0,adam,0.001,5000,relu,100,1000,0.22620441019535065,0.33024856448173523,2.330025165843629,11.129697207999982
sin_high,100,1,adam,0.001,5000,relu,100,1000,0.19598300755023956,0.3442506790161133,2.2638197696708984,11.192626500000017
sin_high,100,2,adam,0.001,5000,relu,100,1000,0.27998653054237366,0.3733363151550293,2.0931081453983453,11.121730624999998
sin_high,100,3,adam,0.001,5000,relu,100,1000,0.18931910395622253,0.3320174813270569,2.120259957683986,11.097567083000001
sin_high,100,4,adam,0.001,5000,relu,100,1000,0.21901525557041168,0.6242241263389587,2.3801414263674983,11.139494458000001
sin_high,500,0,adam,0.001,5000,relu,100,1000,0.11825153231620789,0.1866782009601593,1.3595435564782588,11.201454709000018
sin_high,500,1,adam,0.001,5000,relu,100,1000,0.04403763636946678,0.1444605588912964,1.430052504861899,11.184326375000012
sin_high,500,2,adam,0.001,5000,relu,100,1000,0.04760375991463661,0.10000567883253098,1.4431492969489281,11.228264416999991
sin_high,500,3,adam,0.001,5000,relu,100,1000,0.0854477658867836,0.17145885527133942,1.3054871032867237,11.190568125000027
sin_high,500,4,adam,0.001,5000,relu,100,1000,0.08008265495300293,0.5119083523750305,1.3272647976035705,11.219691624999996
sin_high,1000,0,adam,0.001,5000,relu,100,1000,0.056532591581344604,0.10148452967405319,0.9951283945494748,11.206743415999995
sin_high,1000,1,adam,0.001,5000,relu,100,1000,0.01415964961051941,0.07003143429756165,1.1340213966412942,11.212550833000023
sin_high,1000,2,adam,0.001,5000,relu,100,1000,0.027740905061364174,0.06684701889753342,1.0496789206458912,11.192058209000038
sin_high,1000,3,adam,0.001,5000,relu,100,1000,0.07192248106002808,0.1537327915430069,0.8863914650651612,11.180342167000049
sin_high,1000,4,adam,0.001,5000,relu,100,1000,0.048924949020147324,0.5695556402206421,0.9913599194416193,11.224282916999982
abs,10,0,adam,0.001,5000,relu,100,1000,9.592034757588408e-07,2.148703742932412e-06,0.6054003210274809,11.050201166999955
abs,10,1,adam,0.001,5000,relu,100,1000,9.112011980505486e-07,9.498893405179842e-07,0.9242263374633131,11.047520499999905
abs,10,2,adam,0.001,5000,relu,100,1000,7.743813590366244e-09,1.3147563322490896e-06,0.9105916782166624,11.050267000000076
abs,10,3,adam,0.001,5000,relu,100,1000,0.00048008255544118583,0.0005566430627368391,0.6757521176817126,11.07443037500002
abs,10,4,adam,0.001,5000,relu,100,1000,2.707450930117261e-09,2.624315357024898e-06,0.4204818379565556,11.081136791999938
abs,50,0,adam,0.001,5000,relu,100,1000,5.643007057187788e-07,1.2589517837113817e-06,0.25861498999521365,11.144610499999999
abs,50,1,adam,0.001,5000,relu,100,1000,2.0129544964220258e-07,2.956387845642894e-07,0.3016277223782254,11.162647916999958
abs,50,2,adam,0.001,5000,relu,100,1000,1.2812886325264117e-06,4.28183102485491e-06,0.29165537434060884,11.261101457999985
abs,50,3,adam,0.001,5000,relu,100,1000,1.3346783589440747e-06,4.772437478095526e-06,0.2721991517227684,11.173933999999917
abs,50,4,adam,0.001,5000,relu,100,1000,1.2504239066402079e-06,2.9709015052503673e-06,0.2544827070818039,11.136809500000027
abs,100,0,adam,0.001,5000,relu,100,1000,6.426993195418618e-07,1.6090940562207834e-06,0.1904500834876456,11.062107290999961
abs,100,1,adam,0.001,5000,relu,100,1000,3.325383204355603e-07,3.9696283238299657e-07,0.20114910192305607,11.162756667000053
abs,100,2,adam,0.001,5000,relu,100,1000,4.5617773025696806e-07,5.0361932153464295e-06,0.23699547215326167,11.197676666999996
abs,100,3,adam,0.001,5000,relu,100,1000,3.7901116911598365e-07,4.695651568908943e-06,0.15524641111666557,11.039891958999988
abs,100,4,adam,0.001,5000,relu,100,1000,6.301161903365937e-08,3.308340637886431e-06,0.15196883146861226,11.119587791999948
abs,500,0,adam,0.001,5000,relu,100,1000,1.4848054888716433e-05,1.474452164984541e-05,0.07508022946582416,11.13092020900001
